t_ms,raw,filtered
9966,1220572,1220818.500
9979,1221282,1220888.000
9991,1220925,1220893.625
10003,1220476,1220831.000
10016,1220722,1220814.625
10028,1221294,1220886.500
10040,1220835,1220878.875
10053,1220358,1220800.750
10065,1220846,1220807.625
10077,1221383,1220894.000
10090,1220828,1220884.125
10102,1220367,1220806.625
10114,1220979,1220832.500
10127,1221161,1220881.750
10139,1220641,1220845.625
10151,1220435,1220784.125
10164,1221303,1220862.000
10176,1221216,1220915.125
10188,1220735,1220888.125
10201,1220486,1220827.875
10213,1221352,1220906.500
10225,1221244,1220957.125
10238,1220566,1220898.500
10250,1220574,1220849.875
10262,1221410,1220934.000
10275,1221006,1220944.875
10287,1220485,1220876.000
10299,1220658,1220843.375
10312,1221340,1220917.875
10324,1220862,1220909.500
10336,1220381,1220830.250
10349,1220745,1220817.500
10361,1221371,1220900.500
10373,1220894,1220899.500
10386,1220402,1220824.875
10398,1221053,1220859.125
10410,1221452,1220948.125
10423,1220836,1220931.375
10435,1220377,1220848.250
10447,1221123,1220889.500
10460,1221251,1220943.750
10472,1220698,1220906.875
10484,1220418,1220833.625
10497,1221344,1220910.250
10509,1221219,1220956.625
10521,1220595,1220902.500
10534,1220479,1220839.000
10546,1221423,1220926.625
10558,1221186,1220965.625
10571,1220636,1220916.250
10583,1220700,1220883.875
10595,1221418,1220964.000
10608,1221045,1220976.250
10620,1220564,1220914.375
10632,1220741,1220888.375
10645,1221509,1220981.500
10657,1221057,1220992.875
10669,1220579,1220930.875
10682,1220933,1220931.250
10694,1221555,1221024.875
10706,1221134,1221041.250
10719,1220594,1220974.125
10731,1221063,1220987.500
10744,1221390,1221047.875
10756,1220984,1221038.375
10768,1220638,1220978.375
10781,1221280,1221023.625
10793,1221448,1221087.375
10805,1220966,1221069.250
10818,1220694,1221013.000
10830,1221536,1221091.500
10842,1221650,1221175.375
10855,1221095,1221163.375
10867,1220780,1221105.875
10879,1221624,1221183.625
10892,1221370,1221211.625
10904,1221015,1221182.250
10916,1221122,1221173.250
10929,1221821,1221270.500
10941,1221398,1221289.625
10953,1220877,1221227.750
10966,1221169,1221219.000
10978,1221850,1221313.750
10990,1221433,1221331.625
11003,1221083,1221294.375
11015,1221505,1221326.000
11027,1221909,1221413.500
11040,1221467,1221421.500
11052,1220910,1221344.875
11064,1221571,1221378.875
11077,1222067,1221482.125
11089,1221448,1221477.000
11101,1220901,1221390.625
11114,1221721,1221440.250
11126,1221977,1221520.750
11138,1221573,1221528.625
11151,1221231,1221484.000
11163,1221955,1221554.750
11175,1221960,1221615.625
11188,1221543,1221604.750
11200,1221412,1221575.875
11212,1222188,1221667.750
11225,1221924,1221706.250
11237,1221457,1221668.875
11249,1221574,1221654.625
11262,1222338,1221757.125
11274,1221971,1221789.250
11286,1221452,1221738.625
11299,1221693,1221731.875
11311,1222467,1221842.125
11323,1222160,1221889.875
11336,1221690,1221860.000
11348,1221989,1221879.375
11360,1222406,1221958.375
11373,1221970,1221960.125
11385,1221504,1221891.750
11397,1222251,1221945.625
11410,1222587,1222041.875
11422,1221996,1222035.000
11434,1221579,1221966.625
11447,1222415,1222034.000
11459,1222386,1222086.875
11471,1221782,1222041.125
11484,1221427,1221949.000
11496,1222223,1221990.125
11508,1222387,1222049.625
11521,1221910,1222028.750
11533,1221554,1221957.500
11545,1222421,1222027.000
11558,1222314,1222070.125
11570,1221676,1222011.000
11582,1221645,1221956.125
11595,1222475,1222034.000
